identifier,title,priority,status,assignee_agent_id,assignment,created_by_agent_id,updated_at
"BET-132","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","critical","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","ec12d3cf-fa06-4c43-8160-dc515399e9f7","2026-04-03T15:52:06.359Z"
"BET-246","Pricing parity hardening: Stripe $32 event / $149 season","critical","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:49:15.955Z"
"BET-234","Bug: Season pass checkout fails with 'Subscription pricing not configured'","critical","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:41:24.726Z"
"BET-233","Bug: Private/admin routes are publicly accessible instead of returning 404","critical","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:38:54.630Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:28:33.110Z"
"BET-190","Bug: Demo auto-simulation excludes 4 live demo slugs so odds/feed animation never starts","critical","todo","65731875-1c15-4442-883d-af847186f81e","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:19:33.509Z"
"BET-120","Implement edge access control for private/admin routes","critical","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:12:25.607Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:04:46.893Z"
"BET-113","Access control: internal pages with -private suffix are publicly reachable","high","blocked","c36a36d6-567b-415a-bd2b-e786a1748d15","assigned","ec12d3cf-fa06-4c43-8160-dc515399e9f7","2026-04-03T15:52:01.880Z"
"BET-225","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","high","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","","2026-04-03T15:50:04.336Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:46:42.504Z"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:42:53.599Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:41:32.984Z"
"BET-248","Final pricing copy consistency audit before publish","high","todo","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T15:41:09.626Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:39:12.964Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:23:56.154Z"
"BET-216","Mitigation: normalize exposed private-page pricing copy to canonical offer","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:16:29.648Z"
"BET-133","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","high","in_review","64f5402b-642b-4f50-9ac2-4cde7a251ac1","assigned","ec12d3cf-fa06-4c43-8160-dc515399e9f7","2026-04-03T15:16:01.091Z"
"BET-195","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T15:14:10.774Z"
"BET-89","Shareable settlement card: screenshot-optimized HTML for group chat","high","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","","2026-04-03T15:00:46.576Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","64f5402b-642b-4f50-9ac2-4cde7a251ac1","2026-04-03T15:00:09.800Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T14:44:50.377Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:44:44.360Z"
"BET-145","P0 FIX: vegas/banker/bloodsome bets never settle — trace and fix","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","","2026-04-03T14:41:49.253Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T14:32:15.112Z"
"BET-155","P0 FIX: Vegas/Banker/Bloodsome bets never settle","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","","2026-04-03T14:17:48.306Z"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","","2026-04-03T12:52:03.276Z"
"BET-98","QA: Verify pricing consistency across every page","medium","in_progress","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:53:28.849Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:48:08.775Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:45:13.310Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:43:09.381Z"
"BET-164","SMOKE TEST: Settlement ceremony and share card","medium","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","","2026-04-03T15:26:30.208Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T14:19:43.243Z"
